InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
542524,58277B,WATER BOTTLE,36,2011-02-22 22:00:00,98.29,17252,United Kingdom
542525,20490B,CANDLE,43,2011-02-22 22:30:00,20.1,17465,Australia
542526,44418A,CLOCK,41,2011-02-22 23:00:00,87.18,13111,Netherlands
542527,97091B,CLOCK,36,2011-02-22 23:30:00,76.43,17942,Spain
542528,30700B,PHOTO FRAME,32,2011-02-23 00:00:00,1.47,14491,France
542529,92613A,GIFT BAG,12,2011-02-23 00:30:00,44.48,15512,Belgium
542530,66451A,WATER BOTTLE,1,2011-02-23 01:00:00,121.59,14404,Belgium
542531,81929B,CANDLE,5,2011-02-23 01:30:00,77.46,13857,Norway
542532,19954C,PHOTO FRAME,21,2011-02-23 02:00:00,85.1,14903,Germany
542533,63955A,TOY CAR,30,2011-02-23 02:30:00,96.78,17682,France
542534,88163B,WATER BOTTLE,37,2011-02-23 03:00:00,58.31,17616,Germany
542535,20719B,CANDLE,20,2011-02-23 03:30:00,128.81,15936,Netherlands
542536,23968C,GIFT BAG,26,2011-02-23 04:00:00,67.54,14923,Norway
542537,60633C,PHOTO FRAME,31,2011-02-23 04:30:00,36.6,13837,France
542538,82639A,WHITE MUG,43,2011-02-23 05:00:00,145.81,13672,Italy
542539,77385A,BLUE PEN,16,2011-02-23 05:30:00,12.7,18064,Netherlands
542540,86631A,CANDLE,4,2011-02-23 06:00:00,43.71,16205,Belgium
542541,69840B,NOTEBOOK,18,2011-02-23 06:30:00,63.94,14266,Portugal
542542,15974A,NOTEBOOK,49,2011-02-23 07:00:00,91.01,13055,Spain
542543,90076C,NOTEBOOK,47,2011-02-23 07:30:00,43.59,13717,Portugal
542544,58138A,CLOCK,44,2011-02-23 08:00:00,71.28,13887,France
542545,56228A,WHITE MUG,20,2011-02-23 08:30:00,21.39,12524,Germany
542546,52222A,WATER BOTTLE,42,2011-02-23 09:00:00,127.56,16375,Germany
542547,52163A,WHITE MUG,36,2011-02-23 09:30:00,28.55,14975,Portugal
542548,83425C,GIFT BAG,1,2011-02-23 10:00:00,97.52,17618,Australia
542549,37619C,NOTEBOOK,39,2011-02-23 10:30:00,116.8,13885,Australia
542550,33433B,CLOCK,50,2011-02-23 11:00:00,63.79,16519,Italy
542551,19838A,TOY CAR,19,2011-02-23 11:30:00,4.45,17362,Australia
542552,41850A,GIFT BAG,31,2011-02-23 12:00:00,51.81,14982,Italy
542553,48854C,TOY CAR,35,2011-02-23 12:30:00,144.03,17619,France
542554,49880B,WHITE MUG,45,2011-02-23 13:00:00,134.98,14453,Norway
542555,57456C,NOTEBOOK,33,2011-02-23 13:30:00,112.22,18267,Belgium
542556,76117C,GIFT BAG,35,2011-02-23 14:00:00,10.48,13008,Germany
542557,36044A,CLOCK,34,2011-02-23 14:30:00,148.69,12462,France
542558,48299A,BLUE PEN,45,2011-02-23 15:00:00,124.27,13506,Italy
542559,54475B,CLOCK,43,2011-02-23 15:30:00,94.98,15366,Italy
542560,38090A,GIFT BAG,43,2011-02-23 16:00:00,0.86,16802,Italy
542561,24991B,WHITE MUG,44,2011-02-23 16:30:00,5.45,13527,Spain
542562,94448B,TOY CAR,14,2011-02-23 17:00:00,126.97,12481,Australia
542563,44088A,WHITE MUG,37,2011-02-23 17:30:00,134.61,12348,Portugal
542564,66252A,BLUE PEN,43,2011-02-23 18:00:00,78.41,13053,Portugal
542565,79846A,RED MUG,11,2011-02-23 18:30:00,100.59,12532,Italy
542566,60472B,NOTEBOOK,48,2011-02-23 19:00:00,137.62,17410,Italy
542567,91328A,CANDLE,42,2011-02-23 19:30:00,9.66,13583,Germany
542568,28685A,GIFT BAG,50,2011-02-23 20:00:00,140.27,14197,Belgium
542569,85257C,PHOTO FRAME,40,2011-02-23 20:30:00,23.79,14789,Belgium
542570,70548B,WHITE MUG,32,2011-02-23 21:00:00,77.77,12595,United Kingdom
542571,72315C,GIFT BAG,9,2011-02-23 21:30:00,33.55,14007,France
542572,77605B,WHITE MUG,16,2011-02-23 22:00:00,110.13,18157,United Kingdom
542573,54126A,NOTEBOOK,38,2011-02-23 22:30:00,21.71,15920,Italy
542574,49994C,PHOTO FRAME,23,2011-02-23 23:00:00,144.49,16339,Germany
542575,66195B,NOTEBOOK,9,2011-02-23 23:30:00,110.54,13448,Belgium
542576,16288B,CANDLE,14,2011-02-24 00:00:00,115.56,18236,Norway
542577,98068B,NOTEBOOK,28,2011-02-24 00:30:00,124.17,13292,United Kingdom
542578,82265A,WATER BOTTLE,44,2011-02-24 01:00:00,124.26,15654,Australia
542579,67385C,RED MUG,9,2011-02-24 01:30:00,75.28,17615,Australia
542580,83278A,TOY CAR,26,2011-02-24 02:00:00,81.05,16031,Portugal
542581,47591A,BLUE PEN,47,2011-02-24 02:30:00,5.1,14095,Australia
542582,49067B,TOY CAR,4,2011-02-24 03:00:00,133.82,16409,Netherlands
542583,24682B,WATER BOTTLE,39,2011-02-24 03:30:00,103.74,12586,United Kingdom
542584,68736B,RED MUG,22,2011-02-24 04:00:00,20.53,12678,Belgium
542585,79024C,RED MUG,30,2011-02-24 04:30:00,133.99,17263,United Kingdom
542586,62042C,NOTEBOOK,34,2011-02-24 05:00:00,105.8,14585,Germany
542587,40020B,WATER BOTTLE,48,2011-02-24 05:30:00,138.6,14750,Belgium
542588,72784B,CLOCK,22,2011-02-24 06:00:00,133.04,12985,Belgium
542589,15257C,GIFT BAG,43,2011-02-24 06:30:00,146.43,13350,Italy
542590,75796A,CLOCK,15,2011-02-24 07:00:00,21.24,14203,France
542591,23787A,RED MUG,41,2011-02-24 07:30:00,67.54,17367,Australia
542592,67784A,RED MUG,21,2011-02-24 08:00:00,99.91,16588,Belgium
542593,95147B,GIFT BAG,29,2011-02-24 08:30:00,13.97,17181,Germany
542594,60692C,BLUE PEN,10,2011-02-24 09:00:00,138.19,14249,Portugal
542595,40572A,NOTEBOOK,8,2011-02-24 09:30:00,120.74,14389,Australia
542596,89476A,NOTEBOOK,42,2011-02-24 10:00:00,54.97,12964,Spain
542597,36373C,CANDLE,15,2011-02-24 10:30:00,117.48,18080,France
542598,22901B,PHOTO FRAME,25,2011-02-24 11:00:00,148.26,14970,Norway
542599,20860B,WATER BOTTLE,5,2011-02-24 11:30:00,121.01,17463,Netherlands
542600,84111C,GIFT BAG,41,2011-02-24 12:00:00,122.26,13923,Italy
542601,87082C,RED MUG,43,2011-02-24 12:30:00,80.74,13388,Portugal
542602,93338A,BLUE PEN,18,2011-02-24 13:00:00,97.18,13186,France
542603,98132B,CLOCK,21,2011-02-24 13:30:00,22.73,18100,Australia
542604,30724A,WHITE MUG,40,2011-02-24 14:00:00,138.18,15159,France
542605,62598A,PHOTO FRAME,7,2011-02-24 14:30:00,9.1,18284,Australia
542606,79039B,CANDLE,14,2011-02-24 15:00:00,19.93,15067,United Kingdom
542607,18969B,GIFT BAG,18,2011-02-24 15:30:00,86.53,15620,Spain
542608,66805C,BLUE PEN,49,2011-02-24 16:00:00,112.33,14835,Spain
542609,66395A,CANDLE,20,2011-02-24 16:30:00,12.0,15116,Germany
542610,40577B,PHOTO FRAME,15,2011-02-24 17:00:00,136.69,17650,Netherlands
542611,56586A,PHOTO FRAME,3,2011-02-24 17:30:00,19.01,18200,United Kingdom
542612,92186B,GIFT BAG,16,2011-02-24 18:00:00,115.1,16214,Norway
542613,75950A,CLOCK,19,2011-02-24 18:30:00,25.36,13511,Australia
542614,40932B,NOTEBOOK,5,2011-02-24 19:00:00,33.26,13660,Germany
542615,53736C,CLOCK,48,2011-02-24 19:30:00,97.77,14874,Portugal
542616,71801A,PHOTO FRAME,32,2011-02-24 20:00:00,128.69,17297,Italy
542617,32377B,BLUE PEN,21,2011-02-24 20:30:00,106.22,13839,France
542618,27199A,CANDLE,5,2011-02-24 21:00:00,146.03,12508,Italy
542619,19392B,CANDLE,3,2011-02-24 21:30:00,11.59,13543,France
542620,81652C,WHITE MUG,4,2011-02-24 22:00:00,16.97,16412,Italy
542621,91213C,BLUE PEN,24,2011-02-24 22:30:00,85.91,13086,Germany
542622,51414B,TOY CAR,43,2011-02-24 23:00:00,111.41,13396,France
542623,49194B,RED MUG,39,2011-02-24 23:30:00,138.78,14679,Spain
542624,64366C,BLUE PEN,33,2011-02-25 00:00:00,75.86,14569,Australia
542625,63214A,GIFT BAG,3,2011-02-25 00:30:00,78.0,14383,Germany
542626,59334C,NOTEBOOK,34,2011-02-25 01:00:00,85.23,12890,Spain
542627,82295B,RED MUG,18,2011-02-25 01:30:00,26.77,17085,Australia
542628,37892C,RED MUG,32,2011-02-25 02:00:00,109.03,17852,Belgium
542629,98928C,WHITE MUG,17,2011-02-25 02:30:00,40.68,12769,Italy
542630,85658A,BLUE PEN,17,2011-02-25 03:00:00,47.21,12951,France
542631,97706A,BLUE PEN,44,2011-02-25 03:30:00,110.14,14675,France
542632,37671A,BLUE PEN,1,2011-02-25 04:00:00,25.65,16236,Netherlands
542633,40176B,TOY CAR,50,2011-02-25 04:30:00,85.59,16986,France
542634,36854B,CANDLE,33,2011-02-25 05:00:00,133.09,15696,Spain
542635,15008A,WHITE MUG,6,2011-02-25 05:30:00,90.54,14713,France
542636,95701A,RED MUG,12,2011-02-25 06:00:00,30.19,17285,Norway
542637,48751B,WHITE MUG,21,2011-02-25 06:30:00,19.86,13737,France
542638,34280A,BLUE PEN,12,2011-02-25 07:00:00,31.27,17329,Norway
542639,12353A,GIFT BAG,49,2011-02-25 07:30:00,43.55,18267,Netherlands
542640,72666B,BLUE PEN,44,2011-02-25 08:00:00,73.17,18156,France
542641,15085B,RED MUG,14,2011-02-25 08:30:00,5.05,17666,Germany
542642,20035A,RED MUG,17,2011-02-25 09:00:00,40.92,16565,Netherlands
542643,52600B,CANDLE,27,2011-02-25 09:30:00,40.23,15893,Portugal
542644,34932C,RED MUG,30,2011-02-25 10:00:00,31.85,15552,Belgium
542645,31040A,NOTEBOOK,10,2011-02-25 10:30:00,99.81,13589,Norway
542646,22175A,CANDLE,22,2011-02-25 11:00:00,39.74,16844,Portugal
542647,63138A,TOY CAR,14,2011-02-25 11:30:00,5.71,15185,Portugal
542648,96308B,WHITE MUG,13,2011-02-25 12:00:00,39.68,15267,Germany
542649,63383A,CANDLE,37,2011-02-25 12:30:00,147.64,15372,Spain
542650,20459B,CANDLE,5,2011-02-25 13:00:00,118.12,13552,Italy
542651,96692A,CANDLE,44,2011-02-25 13:30:00,11.48,13343,Belgium
542652,58417C,TOY CAR,46,2011-02-25 14:00:00,110.33,16315,Spain
542653,11685C,BLUE PEN,26,2011-02-25 14:30:00,92.96,17209,Netherlands
542654,10690A,CLOCK,32,2011-02-25 15:00:00,106.09,17459,Australia
542655,54110A,RED MUG,34,2011-02-25 15:30:00,33.06,13698,Australia
542656,90616A,CLOCK,8,2011-02-25 16:00:00,71.55,16926,Belgium
542657,32796B,NOTEBOOK,2,2011-02-25 16:30:00,17.03,14453,Norway
542658,74351B,CANDLE,23,2011-02-25 17:00:00,108.19,18160,Spain
542659,38938B,BLUE PEN,11,2011-02-25 17:30:00,122.83,16110,Norway
542660,87852B,WHITE MUG,44,2011-02-25 18:00:00,33.26,15985,Norway
542661,73734A,CANDLE,21,2011-02-25 18:30:00,145.27,16208,Australia
542662,46735A,CANDLE,42,2011-02-25 19:00:00,66.93,14233,Germany
542663,42678C,WATER BOTTLE,41,2011-02-25 19:30:00,41.94,15197,Norway
542664,35828B,BLUE PEN,18,2011-02-25 20:00:00,36.67,15237,Australia
542665,59691C,NOTEBOOK,10,2011-02-25 20:30:00,66.46,16184,Spain
542666,68666A,WHITE MUG,16,2011-02-25 21:00:00,73.1,13248,United Kingdom
542667,97665A,GIFT BAG,3,2011-02-25 21:30:00,17.81,13472,France
542668,34109B,TOY CAR,20,2011-02-25 22:00:00,148.33,16533,United Kingdom
542669,16213A,NOTEBOOK,26,2011-02-25 22:30:00,43.62,18179,Australia
542670,75708A,WATER BOTTLE,14,2011-02-25 23:00:00,12.17,15956,Italy
542671,25941B,CANDLE,12,2011-02-25 23:30:00,136.11,15524,Belgium
542672,61810A,WHITE MUG,28,2011-02-26 00:00:00,20.62,13173,Netherlands
542673,46644C,CANDLE,32,2011-02-26 00:30:00,15.58,14240,Norway
542674,94936A,CLOCK,21,2011-02-26 01:00:00,83.86,16631,Italy
542675,93401C,TOY CAR,39,2011-02-26 01:30:00,140.82,13988,Spain
542676,89061A,CLOCK,29,2011-02-26 02:00:00,56.55,16484,Portugal
542677,69495B,WATER BOTTLE,45,2011-02-26 02:30:00,72.37,17667,Portugal
542678,54994A,BLUE PEN,26,2011-02-26 03:00:00,10.01,15410,Netherlands
542679,30665A,RED MUG,8,2011-02-26 03:30:00,122.76,17666,Netherlands
542680,99829B,BLUE PEN,8,2011-02-26 04:00:00,63.95,17866,Italy
542681,16512B,TOY CAR,22,2011-02-26 04:30:00,85.53,14355,Australia
542682,71717C,GIFT BAG,49,2011-02-26 05:00:00,91.64,16699,Italy
542683,60196B,WHITE MUG,31,2011-02-26 05:30:00,138.43,14668,Netherlands
542684,23767C,CANDLE,7,2011-02-26 06:00:00,26.42,12927,Germany
542685,35530C,CLOCK,33,2011-02-26 06:30:00,64.27,13731,Germany
542686,99800B,WHITE MUG,24,2011-02-26 07:00:00,12.42,14259,Australia
542687,74231A,RED MUG,42,2011-02-26 07:30:00,149.57,16596,Netherlands
542688,26879A,CANDLE,50,2011-02-26 08:00:00,61.59,18034,Belgium
542689,89426B,BLUE PEN,21,2011-02-26 08:30:00,55.44,17982,Belgium
542690,92550B,WATER BOTTLE,12,2011-02-26 09:00:00,96.49,12491,Australia
542691,32888C,PHOTO FRAME,41,2011-02-26 09:30:00,5.08,18229,Portugal
542692,86131A,BLUE PEN,48,2011-02-26 10:00:00,125.32,14169,Belgium
542693,87195C,WATER BOTTLE,31,2011-02-26 10:30:00,139.79,12474,Norway
542694,79371B,CLOCK,43,2011-02-26 11:00:00,13.62,12589,Norway
542695,67942C,GIFT BAG,6,2011-02-26 11:30:00,14.42,16629,Italy
542696,95571B,CANDLE,26,2011-02-26 12:00:00,117.85,14537,Netherlands
542697,68484C,WHITE MUG,47,2011-02-26 12:30:00,72.78,13426,United Kingdom
542698,96541B,WATER BOTTLE,11,2011-02-26 13:00:00,127.12,16876,Australia
542699,44012A,CLOCK,36,2011-02-26 13:30:00,66.95,14281,Norway
542700,76381C,CANDLE,28,2011-02-26 14:00:00,95.7,14961,Germany
542701,44966C,NOTEBOOK,39,2011-02-26 14:30:00,95.11,13021,United Kingdom
542702,81983A,TOY CAR,44,2011-02-26 15:00:00,22.72,16157,Belgium
542703,16491A,WHITE MUG,18,2011-02-26 15:30:00,29.61,18050,Germany
542704,36005B,WHITE MUG,45,2011-02-26 16:00:00,125.22,15874,Netherlands
542705,87025A,RED MUG,25,2011-02-26 16:30:00,133.77,16975,Australia
542706,76692B,WATER BOTTLE,24,2011-02-26 17:00:00,136.74,17388,United Kingdom
542707,38344B,WHITE MUG,5,2011-02-26 17:30:00,75.85,12460,Portugal
542708,96517C,TOY CAR,14,2011-02-26 18:00:00,44.29,13852,Italy
542709,54116B,WATER BOTTLE,30,2011-02-26 18:30:00,33.9,15484,United Kingdom
542710,82240A,NOTEBOOK,49,2011-02-26 19:00:00,5.91,14406,Netherlands
542711,59534B,RED MUG,4,2011-02-26 19:30:00,19.05,13543,Norway
542712,73688C,PHOTO FRAME,38,2011-02-26 20:00:00,88.81,12696,Portugal
542713,95102C,CLOCK,19,2011-02-26 20:30:00,127.56,13402,Belgium
542714,42550B,BLUE PEN,46,2011-02-26 21:00:00,10.4,16545,United Kingdom
542715,88003A,WATER BOTTLE,42,2011-02-26 21:30:00,59.38,13084,Portugal
542716,81946B,RED MUG,18,2011-02-26 22:00:00,77.19,12799,Australia
542717,64156B,NOTEBOOK,19,2011-02-26 22:30:00,62.48,16381,Norway
542718,38819B,PHOTO FRAME,45,2011-02-26 23:00:00,68.91,13855,Norway
542719,81765B,BLUE PEN,11,2011-02-26 23:30:00,53.34,17786,Australia
542720,69867C,NOTEBOOK,45,2011-02-27 00:00:00,23.6,12968,Spain
542721,26477A,RED MUG,22,2011-02-27 00:30:00,55.9,18179,Australia
542722,59937C,RED MUG,44,2011-02-27 01:00:00,86.09,13823,France
542723,22628C,TOY CAR,6,2011-02-27 01:30:00,113.76,17562,France
542724,33339B,WATER BOTTLE,18,2011-02-27 02:00:00,3.21,14804,Germany
542725,89568B,RED MUG,5,2011-02-27 02:30:00,139.2,13612,Germany
542726,20685A,CANDLE,50,2011-02-27 03:00:00,27.13,13472,France
542727,66067B,PHOTO FRAME,30,2011-02-27 03:30:00,14.37,14141,Netherlands
542728,51102A,RED MUG,28,2011-02-27 04:00:00,126.37,14262,Belgium
542729,18846C,BLUE PEN,31,2011-02-27 04:30:00,108.11,13496,France
542730,49954B,RED MUG,47,2011-02-27 05:00:00,54.52,15393,Spain
542731,50474B,PHOTO FRAME,48,2011-02-27 05:30:00,1.35,13923,Italy
542732,17474C,TOY CAR,16,2011-02-27 06:00:00,112.3,12959,United Kingdom
542733,76758C,TOY CAR,42,2011-02-27 06:30:00,85.7,14893,Australia
542734,85752C,TOY CAR,26,2011-02-27 07:00:00,108.57,14386,Belgium
542735,98052B,GIFT BAG,6,2011-02-27 07:30:00,50.88,12954,Portugal
542736,66529B,PHOTO FRAME,17,2011-02-27 08:00:00,77.88,16750,Germany
542737,63766B,NOTEBOOK,47,2011-02-27 08:30:00,81.35,14234,Italy
542738,13663A,TOY CAR,20,2011-02-27 09:00:00,133.43,16801,Belgium
542739,24517B,GIFT BAG,8,2011-02-27 09:30:00,25.51,16109,Australia
542740,40592C,PHOTO FRAME,18,2011-02-27 10:00:00,67.79,13552,Netherlands
542741,82419B,PHOTO FRAME,20,2011-02-27 10:30:00,138.91,17465,Netherlands
542742,58913C,WATER BOTTLE,35,2011-02-27 11:00:00,117.83,13495,Belgium
542743,64951B,GIFT BAG,31,2011-02-27 11:30:00,75.25,13354,Italy
542744,38668B,BLUE PEN,47,2011-02-27 12:00:00,16.14,14097,Australia
542745,43498B,RED MUG,29,2011-02-27 12:30:00,12.36,15992,France
542746,22473C,CANDLE,13,2011-02-27 13:00:00,33.13,15587,United Kingdom
542747,46898C,RED MUG,44,2011-02-27 13:30:00,59.56,13967,Portugal
542748,94990C,CANDLE,2,2011-02-27 14:00:00,47.85,14637,Italy
542749,48483B,RED MUG,48,2011-02-27 14:30:00,123.66,17777,Spain
542750,48916A,RED MUG,48,2011-02-27 15:00:00,122.37,14735,Australia
542751,53538C,PHOTO FRAME,3,2011-02-27 15:30:00,104.83,15294,Portugal
542752,61508C,WHITE MUG,8,2011-02-27 16:00:00,10.43,17623,France
542753,10389C,TOY CAR,27,2011-02-27 16:30:00,30.68,13539,United Kingdom
542754,55395B,CLOCK,3,2011-02-27 17:00:00,31.31,12771,France
542755,90917C,NOTEBOOK,39,2011-02-27 17:30:00,138.92,16408,Germany
542756,73419A,WATER BOTTLE,11,2011-02-27 18:00:00,125.58,17438,Portugal
542757,61072A,BLUE PEN,22,2011-02-27 18:30:00,17.43,14726,Belgium
542758,17196B,RED MUG,27,2011-02-27 19:00:00,49.04,15581,Germany
542759,51022A,GIFT BAG,12,2011-02-27 19:30:00,132.84,14662,Australia
542760,77050A,TOY CAR,33,2011-02-27 20:00:00,84.19,18245,Portugal
542761,27248B,WATER BOTTLE,45,2011-02-27 20:30:00,35.06,13100,Norway
542762,85432C,PHOTO FRAME,5,2011-02-27 21:00:00,107.84,16874,Italy
542763,21789B,GIFT BAG,44,2011-02-27 21:30:00,82.95,13020,Belgium
542764,13615C,WATER BOTTLE,21,2011-02-27 22:00:00,106.49,16581,Germany
542765,19845A,GIFT BAG,16,2011-02-27 22:30:00,112.35,17354,Netherlands
542766,36136A,PHOTO FRAME,5,2011-02-27 23:00:00,97.87,15580,Belgium
542767,59660C,NOTEBOOK,27,2011-02-27 23:30:00,40.79,15587,Belgium
542768,56644C,RED MUG,20,2011-02-28 00:00:00,2.46,14244,Belgium
542769,59163A,WATER BOTTLE,40,2011-02-28 00:30:00,8.38,16769,Netherlands
542770,48069A,NOTEBOOK,42,2011-02-28 01:00:00,101.03,14457,France
542771,68021A,WHITE MUG,21,2011-02-28 01:30:00,83.74,17815,United Kingdom
542772,19111A,PHOTO FRAME,12,2011-02-28 02:00:00,123.27,15744,France
542773,95040A,CLOCK,39,2011-02-28 02:30:00,26.06,12404,Spain
542774,19838B,NOTEBOOK,50,2011-02-28 03:00:00,132.3,13596,United Kingdom
542775,22784C,TOY CAR,14,2011-02-28 03:30:00,94.63,15477,Italy
542776,71540C,TOY CAR,4,2011-02-28 04:00:00,56.95,12398,Belgium
542777,21997A,CLOCK,36,2011-02-28 04:30:00,7.55,13334,Spain
542778,10840A,PHOTO FRAME,15,2011-02-28 05:00:00,124.41,14377,Belgium
542779,96983C,WHITE MUG,23,2011-02-28 05:30:00,32.61,13928,Spain
542780,17026B,WATER BOTTLE,50,2011-02-28 06:00:00,32.39,14638,Norway
542781,21808C,PHOTO FRAME,20,2011-02-28 06:30:00,46.67,17560,Germany
542782,40779C,BLUE PEN,32,2011-02-28 07:00:00,109.86,15427,Belgium
542783,48737A,GIFT BAG,9,2011-02-28 07:30:00,13.65,17163,Italy
542784,55541B,CANDLE,37,2011-02-28 08:00:00,95.49,15533,Belgium
542785,96281B,CLOCK,42,2011-02-28 08:30:00,42.38,15840,Portugal
542786,89229A,TOY CAR,42,2011-02-28 09:00:00,125.87,16550,Australia
542787,67673A,WATER BOTTLE,30,2011-02-28 09:30:00,102.36,17957,United Kingdom
542788,43419A,NOTEBOOK,25,2011-02-28 10:00:00,48.99,17268,Portugal
542789,97347A,NOTEBOOK,30,2011-02-28 10:30:00,25.72,17086,Belgium
542790,23840B,CLOCK,41,2011-02-28 11:00:00,72.64,15687,Norway
542791,87804C,BLUE PEN,39,2011-02-28 11:30:00,34.58,13990,Spain
542792,60939B,GIFT BAG,7,2011-02-28 12:00:00,53.03,15226,France
542793,82657B,PHOTO FRAME,36,2011-02-28 12:30:00,102.59,13796,Germany
542794,94216C,CLOCK,26,2011-02-28 13:00:00,120.44,15939,France
542795,55017A,BLUE PEN,41,2011-02-28 13:30:00,26.06,16322,Portugal
542796,85144C,WHITE MUG,47,2011-02-28 14:00:00,10.2,14935,Portugal
542797,64200C,WATER BOTTLE,22,2011-02-28 14:30:00,108.3,16529,Portugal
542798,32201C,CANDLE,46,2011-02-28 15:00:00,140.3,13510,Italy
542799,22136C,BLUE PEN,32,2011-02-28 15:30:00,35.65,14241,Norway
542800,94688A,WATER BOTTLE,19,2011-02-28 16:00:00,21.99,13802,Netherlands
542801,68668A,CLOCK,40,2011-02-28 16:30:00,27.86,18021,Italy
542802,90407B,NOTEBOOK,2,2011-02-28 17:00:00,123.58,16246,Netherlands
542803,70829C,WHITE MUG,22,2011-02-28 17:30:00,147.84,15145,Norway
542804,86151C,WHITE MUG,28,2011-02-28 18:00:00,56.53,16166,Norway
542805,62944A,WATER BOTTLE,43,2011-02-28 18:30:00,35.31,15248,Netherlands
542806,49635A,RED MUG,32,2011-02-28 19:00:00,15.2,14878,France
542807,23905C,PHOTO FRAME,8,2011-02-28 19:30:00,104.64,14878,United Kingdom
542808,26195C,CLOCK,11,2011-02-28 20:00:00,147.23,17127,France
542809,51496A,CLOCK,31,2011-02-28 20:30:00,103.37,17225,Spain
542810,41119A,BLUE PEN,43,2011-02-28 21:00:00,20.78,13872,United Kingdom
542811,48915C,CANDLE,22,2011-02-28 21:30:00,86.18,13203,United Kingdom
542812,92699A,WHITE MUG,23,2011-02-28 22:00:00,57.4,13260,France
542813,17864B,CLOCK,48,2011-02-28 22:30:00,49.7,15984,Norway
542814,18842A,WHITE MUG,29,2011-02-28 23:00:00,141.65,13621,United Kingdom
542815,62849A,CLOCK,20,2011-02-28 23:30:00,34.78,17512,Netherlands
542816,64430B,CANDLE,47,2011-03-01 00:00:00,142.43,13508,Netherlands
542817,17678B,GIFT BAG,15,2011-03-01 00:30:00,72.7,12405,Germany
542818,62255B,GIFT BAG,4,2011-03-01 01:00:00,138.82,15281,Portugal
542819,23525B,NOTEBOOK,34,2011-03-01 01:30:00,125.82,12857,Belgium
542820,27194A,PHOTO FRAME,13,2011-03-01 02:00:00,125.51,14344,Italy
542821,40147C,RED MUG,30,2011-03-01 02:30:00,39.51,17056,Netherlands
542822,86910A,PHOTO FRAME,46,2011-03-01 03:00:00,2.52,16394,Portugal
542823,76298A,WHITE MUG,8,2011-03-01 03:30:00,98.51,16090,United Kingdom
542824,47891C,PHOTO FRAME,1,2011-03-01 04:00:00,133.25,15535,Germany
542825,57695B,GIFT BAG,29,2011-03-01 04:30:00,28.14,12617,United Kingdom
542826,11871C,CLOCK,6,2011-03-01 05:00:00,47.98,16487,Spain
542827,98139C,WHITE MUG,45,2011-03-01 05:30:00,60.18,13519,Portugal
542828,88027A,WHITE MUG,34,2011-03-01 06:00:00,149.96,16462,Spain
542829,86433A,BLUE PEN,28,2011-03-01 06:30:00,1.02,12950,Netherlands
542830,19145B,TOY CAR,20,2011-03-01 07:00:00,109.03,13311,Spain
542831,10778C,WATER BOTTLE,48,2011-03-01 07:30:00,89.14,16030,Norway
542832,98955C,TOY CAR,20,2011-03-01 08:00:00,133.73,17433,Germany
542833,54788C,TOY CAR,18,2011-03-01 08:30:00,56.01,17007,Belgium
542834,20629C,GIFT BAG,41,2011-03-01 09:00:00,146.6,12725,Germany
542835,41229C,NOTEBOOK,48,2011-03-01 09:30:00,48.11,15404,Netherlands
542836,32753C,RED MUG,19,2011-03-01 10:00:00,148.57,13190,United Kingdom
542837,82925B,WHITE MUG,2,2011-03-01 10:30:00,133.17,12419,Germany
542838,71318C,CANDLE,3,2011-03-01 11:00:00,64.33,14049,France
542839,92703C,CLOCK,13,2011-03-01 11:30:00,61.21,16211,Portugal
542840,81257B,WHITE MUG,41,2011-03-01 12:00:00,18.08,14829,United Kingdom
542841,83317B,RED MUG,24,2011-03-01 12:30:00,134.21,14680,Australia
542842,86008A,WHITE MUG,8,2011-03-01 13:00:00,142.88,14603,Norway
542843,36244B,TOY CAR,45,2011-03-01 13:30:00,44.21,16904,Italy
542844,73282C,CLOCK,5,2011-03-01 14:00:00,30.11,14430,Portugal
542845,95490A,RED MUG,15,2011-03-01 14:30:00,22.73,14265,Belgium
542846,78066A,NOTEBOOK,35,2011-03-01 15:00:00,27.94,14879,Italy
542847,15651B,TOY CAR,48,2011-03-01 15:30:00,144.68,13312,Portugal
542848,41019C,RED MUG,1,2011-03-01 16:00:00,98.77,16047,Australia
542849,43142B,RED MUG,13,2011-03-01 16:30:00,1.18,13024,France
542850,15613A,CANDLE,41,2011-03-01 17:00:00,55.07,15919,United Kingdom
542851,78654A,CLOCK,2,2011-03-01 17:30:00,70.66,13124,Italy
542852,99894C,GIFT BAG,16,2011-03-01 18:00:00,29.51,14211,United Kingdom
542853,27139B,WHITE MUG,21,2011-03-01 18:30:00,137.17,14382,Belgium
542854,90686A,WATER BOTTLE,50,2011-03-01 19:00:00,37.07,17870,Spain
542855,38638A,WHITE MUG,47,2011-03-01 19:30:00,21.54,17519,United Kingdom
542856,48710A,PHOTO FRAME,35,2011-03-01 20:00:00,64.64,16728,Australia
542857,16992A,WHITE MUG,12,2011-03-01 20:30:00,9.76,12666,Belgium
542858,93153A,NOTEBOOK,41,2011-03-01 21:00:00,85.62,13406,Netherlands
542859,24185A,NOTEBOOK,10,2011-03-01 21:30:00,104.5,13406,United Kingdom
542860,23391C,TOY CAR,47,2011-03-01 22:00:00,40.83,16197,France
542861,13693B,WHITE MUG,17,2011-03-01 22:30:00,88.05,12645,Italy
